title,image,description
La dette des pays pauvres atteint un record,https://img.lemde.fr/2024/12/03/0/194/4200/2800/110/73/60/0/76e07b3_1733242477817-000-e6796.jpg,"Le niveau des intérêts payés par les nations les plus démunies à leurs créanciers privés a bondi depuis la pandémie de Covid-19, déplore la Banque mondiale."
L’Observatoire des inégalités documente la « montée lente de la pauvreté »,https://img.lemde.fr/2024/12/03/3/0/8368/5578/110/73/60/0/389696e_1733232664939-000-344a39p.jpg,"Publié tous les deux ans par l’organisme indépendant, le « Rapport sur la pauvreté en France » donne à lire les nombreuses données sur ce phénomène et analyse sur le temps long ses causes et ses conséquences."
"Près de Toulouse, Aura Aero fait décoller son avion biplace 100 % électrique",https://img.lemde.fr/2024/12/03/0/0/2560/1706/110/73/60/0/718d315_1733243211813-integral-e-a-aura-aero-scaled.jpg,"Le petit avion s’est élancé dans les airs pour la première fois, sans une goutte de carburant, depuis l’ancienne base militaire Toulouse-Francazal. Pour le constructeur, ce premier vol conforte son positionnement dans la décarbonation de l’aviation légère."
Mercosur : « La France serait devenue le pays du refus du commerce »,https://img.lemde.fr/2024/11/26/0/0/5073/3382/110/73/60/0/e489443_2024-11-26t141434z-350074594-rc20dba9jnhp-rtrmadp-3-europe-farmers-eu.JPG,"La France ne dispose plus d’une base industrielle suffisamment forte pour tirer profit d’un accord commercial avec les pays d’Amérique latine, qui de plus fragilise une partie de son agriculture, constate, dans une tribune au « Monde », le haut fonctionnaire Denis Tersen, pour qui cela explique le décalage français."
L’intelligence artificielle envahit doucement le monde de l’édition,https://img.lemde.fr/2024/01/29/0/0/3000/2000/110/73/60/0/fe19c41_1706537776880-media-appel-ia-8.jpg,"Depuis deux ans, les éditeurs français commencent à utiliser l’intelligence artificielle. Contrairement aux Américains, comme HarperCollins ou Wiley, aucun n’a encore monétisé son catalogue avec un opérateur d’IA générative pour entraîner des bases de données."
"Médicaments : dans les coulisses de la logistique des pharmacies, un business aux marges faibles et très concurrentiel",https://img.lemde.fr/2024/12/02/0/0/6858/4572/110/73/60/0/7473c7f_1733151210486-zum-17.jpg,"Les grossistes-répartiteurs, tenus de livrer les officines deux fois par jour en toutes circonstances, constituent l’un des maillons essentiels de la chaîne de la santé en France. Exemple avec une plateforme en région parisienne."
Retraites : le gouvernement accusé d’« affaiblir » le paritarisme,https://img.lemde.fr/2024/12/03/0/0/6000/4000/110/73/60/0/88a70fc_1733221576875-000-33cr38e.jpg,"Les syndicats de fonctionnaires ont écrit, lundi 2 décembre, au premier ministre, Michel Barnier, pour lui demander de renoncer à une « décision » qui, selon eux, réduirait leur rôle dans la gouvernance de l’Ircantec, le régime de pensions complémentaires des contractuels du public."
"L’erreur de Carlos Tavares, patron évincé de Stellantis",https://img.lemde.fr/2024/12/01/0/0/4435/2957/110/73/60/0/6950b3a_2024-12-01t224309z-1358976142-rc2zkaa5e1n4-rtrmadp-3-autos-stellantis-ceo.JPG,"Le patron qui avait réussi la fusion de Fiat, PSA et Chrysler a démissionné, après une décision du conseil d’administration. Sa faute : avoir voulu maintenir coûte que coûte la rentabilité du constructeur automobile."
Des taxis manifestent à Paris et autour de Lyon pour protester contre une tarification à la baisse du transport de patients,https://img.lemde.fr/2024/12/02/0/0/8256/5504/110/73/60/0/e26f1d6_5406629-01-06.jpg,"Près de 500 taxis ont manifesté, mardi, à Paris, près de l’Assemblée nationale. La préfecture du Rhône a, elle, fait appel à des CRS pour « libérer » des accès de circulation bloqués par des chauffeurs de taxi autour de Lyon."
Plongée dans un Repair Café parisien qui remet à neuf téléphones et ordinateurs,https://img.lemde.fr/2024/12/02/0/0/6000/4000/110/73/60/0/25b6d8a_1733157462222-000-36kb79w.jpg,"Ce lieu permet de donner une seconde vie à des appareils que les réseaux professionnels réparent de moins en moins. Près de 700 ateliers affiliés à l’association Repair Café ont ouvert en France, répondant à une demande citoyenne pour une meilleure réparabilité des biens de consommation."
